model,frame_id,fps,latency_ms,precision,recall,f1,mAP,avg_confidence,num_detections
YOLOv8,79,18.41,54.31,0.0,0.0,0.0,0.0,0.6407,3
YOLOv8,80,16.93,59.07,0.0,0.0,0.0,0.0,0.6073,3
YOLOv8,81,16.14,61.96,0.0,0.0,0.0,0.0,0.653,3
YOLOv8,82,15.94,62.75,0.0,0.0,0.0,0.0,0.6236,3
YOLOv8,83,17.44,57.35,0.0,0.0,0.0,0.0,0.6599,3
YOLOv8,84,20.26,49.35,0.0,0.0,0.0,0.0,0.8177,2
YOLOv8,85,19.64,50.92,0.0,0.0,0.0,0.0,0.6318,3
YOLOv8,86,18.1,55.24,0.0,0.0,0.0,0.0,0.6562,3
YOLOv8,87,19.83,50.44,0.0,0.0,0.0,0.0,0.651,3
YOLOv8,88,16.27,61.45,0.0,0.0,0.0,0.0,0.6328,3
YOLOv8,89,16.28,61.43,0.0,0.0,0.0,0.0,0.5984,3
YOLOv8,90,18.8,53.19,0.0,0.0,0.0,0.0,0.803,2
YOLOv8,91,16.25,61.53,0.0,0.0,0.0,0.0,0.648,3
YOLOv8,92,25.11,39.83,0.0,0.0,0.0,0.0,0.649,3
YOLOv8,93,26.5,37.74,0.0,0.0,0.0,0.0,0.6442,3
YOLOv8,94,26.48,37.77,0.0,0.0,0.0,0.0,0.7999,2
YOLOv8,95,39.65,25.22,0.0,0.0,0.0,0.0,0.6088,3
YOLOv8,96,31.86,31.39,0.0,0.0,0.0,0.0,0.6203,3
YOLOv8,97,23.38,42.78,0.0,0.0,0.0,0.0,0.6401,3
YOLOv8,98,22.85,43.76,0.0,0.0,0.0,0.0,0.636,3
YOLOv8,99,20.75,48.19,0.0,0.0,0.0,0.0,0.668,3
YOLOv8,100,20.97,47.68,0.0,0.0,0.0,0.0,0.6376,3
YOLOv8,101,18.76,53.29,0.0,0.0,0.0,0.0,0.6303,3
YOLOv8,102,18.19,54.98,0.0,0.0,0.0,0.0,0.6444,3
YOLOv8,103,16.36,61.11,0.0,0.0,0.0,0.0,0.7993,2
YOLOv8,104,15.55,64.3,0.0,0.0,0.0,0.0,0.6618,3
YOLOv8,105,20.5,48.79,0.0,0.0,0.0,0.0,0.8208,2
YOLOv8,106,19.81,50.48,0.0,0.0,0.0,0.0,0.6285,3
YOLOv8,107,17.91,55.85,0.0,0.0,0.0,0.0,0.7852,2
YOLOv8,108,20.37,49.1,0.0,0.0,0.0,0.0,0.7879,2
YOLOv8,109,15.99,62.55,0.0,0.0,0.0,0.0,0.6495,3
YOLOv8,110,16.84,59.38,0.0,0.0,0.0,0.0,0.8305,2
YOLOv8,111,16.15,61.93,0.0,0.0,0.0,0.0,0.8228,2
YOLOv8,112,19.08,52.42,0.0,0.0,0.0,0.0,0.5638,4
YOLOv8,113,21.69,46.1,0.0,0.0,0.0,0.0,0.5608,4
YOLOv8,114,17.52,57.08,0.0,0.0,0.0,0.0,0.5834,4
YOLOv8,115,19.45,51.42,0.0,0.0,0.0,0.0,0.6503,3
YOLOv8,116,20.11,49.74,0.0,0.0,0.0,0.0,0.6206,3
YOLOv8,117,19.51,51.27,0.0,0.0,0.0,0.0,0.557,4
YOLOv8,118,19.59,51.05,0.0,0.0,0.0,0.0,0.6825,3
YOLOv8,119,20.28,49.3,0.0,0.0,0.0,0.0,0.6442,3
YOLOv8,120,16.08,62.17,0.0,0.0,0.0,0.0,0.577,4
YOLOv8,121,21.11,47.37,0.0,0.0,0.0,0.0,0.5684,4
YOLOv8,122,17.9,55.87,0.0,0.0,0.0,0.0,0.622,3
YOLOv8,123,17.33,57.7,0.0,0.0,0.0,0.0,0.7074,3
YOLOv8,124,14.1,70.91,0.0,0.0,0.0,0.0,0.6691,3
YOLOv8,125,16.34,61.2,0.0,0.0,0.0,0.0,0.558,4
YOLOv8,126,17.8,56.18,0.0,0.0,0.0,0.0,0.6455,3
YOLOv8,127,20.33,49.18,0.0,0.0,0.0,0.0,0.7748,2
YOLOv8,128,22.54,44.37,0.0,0.0,0.0,0.0,0.5446,4
YOLOv8,129,21.32,46.9,0.0,0.0,0.0,0.0,0.6294,3
YOLOv8,130,23.33,42.87,0.0,0.0,0.0,0.0,0.5451,4
YOLOv8,131,19.6,51.01,0.0,0.0,0.0,0.0,0.658,3
YOLOv8,132,18.46,54.16,0.0,0.0,0.0,0.0,0.6323,3
YOLOv8,133,20.36,49.11,0.0,0.0,0.0,0.0,0.5639,4
YOLOv8,134,20.87,47.91,0.0,0.0,0.0,0.0,0.6427,3
YOLOv8,135,18.74,53.36,0.0,0.0,0.0,0.0,0.5512,4
YOLOv8,136,19.4,51.54,0.0,0.0,0.0,0.0,0.6212,3
YOLOv8,137,21.09,47.41,0.0,0.0,0.0,0.0,0.8086,2
YOLOv8,138,17.48,57.22,0.0,0.0,0.0,0.0,0.6496,3
YOLOv8,139,21.6,46.3,0.0,0.0,0.0,0.0,0.8234,2
YOLOv8,140,18.07,55.34,0.0,0.0,0.0,0.0,0.6299,3
YOLOv8,141,21.04,47.54,0.0,0.0,0.0,0.0,0.823,2
YOLOv8,142,20.86,47.93,0.0,0.0,0.0,0.0,0.6122,3
YOLOv8,143,20.64,48.44,0.0,0.0,0.0,0.0,0.5542,4
YOLOv8,144,21.56,46.37,0.0,0.0,0.0,0.0,0.6653,3
YOLOv8,145,18.42,54.3,0.0,0.0,0.0,0.0,0.7147,3
YOLOv8,146,19.11,52.33,0.0,0.0,0.0,0.0,0.6664,3
YOLOv8,147,18.49,54.09,0.0,0.0,0.0,0.0,0.6556,3
YOLOv8,148,21.46,46.6,0.0,0.0,0.0,0.0,0.5746,4
YOLOv8,149,22.08,45.29,0.0,0.0,0.0,0.0,0.535,4
YOLOv8,150,20.94,47.76,0.0,0.0,0.0,0.0,0.6348,3
YOLOv8,151,17.34,57.68,0.0,0.0,0.0,0.0,0.8218,2
YOLOv8,152,22.46,44.53,0.0,0.0,0.0,0.0,0.8022,2
YOLOv8,153,22.73,43.99,0.0,0.0,0.0,0.0,0.7829,2
YOLOv8,154,17.73,56.4,0.0,0.0,0.0,0.0,0.7612,2
YOLOv8,155,16.09,62.14,0.0,0.0,0.0,0.0,0.6307,3
YOLOv8,156,23.22,43.07,0.0,0.0,0.0,0.0,0.8056,2
YOLOv8,157,23.09,43.31,0.0,0.0,0.0,0.0,0.6249,3
YOLOv8,158,21.5,46.51,0.0,0.0,0.0,0.0,0.8107,2
YOLOv8,159,17.14,58.33,0.0,0.0,0.0,0.0,0.8107,2
YOLOv8,160,19.32,51.76,0.0,0.0,0.0,0.0,0.6342,3
YOLOv8,161,19.99,50.02,0.0,0.0,0.0,0.0,0.6327,3
YOLOv8,162,20.01,49.97,0.0,0.0,0.0,0.0,0.6288,3
YOLOv8,163,23.71,42.18,0.0,0.0,0.0,0.0,0.7691,2
YOLOv8,164,23.52,42.51,0.0,0.0,0.0,0.0,0.7907,2
YOLOv8,165,20.86,47.95,0.0,0.0,0.0,0.0,0.8012,2
YOLOv8,166,17.98,55.61,0.0,0.0,0.0,0.0,0.8071,2
YOLOv8,167,19.55,51.15,0.0,0.0,0.0,0.0,0.8082,2
YOLOv8,168,18.38,54.4,0.0,0.0,0.0,0.0,0.7935,2
YOLOv8,169,19.54,51.18,0.0,0.0,0.0,0.0,0.779,2
YOLOv8,170,19.43,51.47,0.0,0.0,0.0,0.0,0.8187,2
